Participant ID,Condition,Q1,Q2,,Q3,Q4
,,"Using your own words, please describe how the warning influenced your takeover control performance.",Attack Type,Describe the attack,Please describe anything in the simulated driving that helped you better understand each scenario.,Do you have any suggestions to better inform human drivers of such attacks?
P1,0,"1. Modality: it beeped
2. Color: was red
3. Effectiveness: it was helpful
4. Takeover trigger: just pushed on the brake",Stop Sign,abnormality,1. Explanations: Yellow words reiterated it,1. None : Those attack should just not be clueless(just suddenly show up on the road without any reasons)
,,,Road Surface,abnormality,,
,,,Vehicle,recognize attack,,
,,,Pedestrian,did not recognize anything,,
P2,1,"1. Effectiveness: Stop whatever I was doing 
2. Preparness: made me aware to put my feet by the petal & grab the wheel",Stop Sign,abnormality,1. Head up display: The heads up display,1. None : No
,P,,Road Surface,abnormality,,
,P,,Vehicle,abnormality,,
,P,,Pedestrian,did not recognize anything,,
P3,1,"1. Effectiveness: helped me react quickly to break
2. Takeover trigger: transform to manual driving
3. Comprehension: Knowing what happened first",Stop Sign,abnormality,1. Explanations: The yellow text after the warning,1. Driving behavior/human attention: better to put attention on the road in front of you when autonomous driving is not yet perfect
,P,,Road Surface,abnormality,,
,P,,Vehicle,recognize attack,,
,P,,Pedestrian,recognize attack,,
P4,0,"1. Color: Red color
2. Effectiveness: Got my attention
3. Attention: Got my attention",Stop Sign,abnormality,1. Beep sound : noise with warning,1. Warning improvement : more lound warning noise with the warning text & Bigger flashing text to be red or yellow
,C,,Road Surface,abnormality,,
,C,,Vehicle,abnormality,,
,C,,Pedestrian,did not recognize anything,,
P5,0,"1. Modality : The audio and visual warning
2. Effectiveness: guide the vehicle throigh the situation
3. Prepareness: warning prepared me to brake",Stop Sign,recognize attack,1. Both warning and explanations: Either a warning asking me to takeover & a warning showing what the car was processing,1. Increase awareness : spreading awareness is a big step
,C,,Road Surface,recognize attack,,
,C,,Vehicle,recognize attack,,
,C,,Pedestrian,recognize attack,,
