Participant,Group,Level,Initial_level,Initial_SA,Attack,Reliability,Order,Level_SA,Overall_SA,RT_Longitudinal,RT_Lateral
1,0,1,1,3,1,1,4,1,3,1.79,3.89
1,0,2,1,3,1,1,4,1,3,1.79,3.89
1,0,3,1,3,1,1,4,1,3,1.79,3.89
1,0,1,1,3,2,0,1,1,3,1.7,2.35
1,0,2,1,3,2,0,1,1,3,1.7,2.35
1,0,3,1,3,2,0,1,1,3,1.7,2.35
1,0,1,1,3,3,0,3,1,3,2.34,6.32
1,0,2,1,3,3,0,3,1,3,2.34,6.32
1,0,3,1,3,3,0,3,1,3,2.34,6.32
1,0,1,1,3,4,0,2,1,3,1.74,3.2
1,0,2,1,3,4,0,2,1,3,1.74,3.2
1,0,3,1,3,4,0,2,1,3,1.74,3.2
2,1,1,0,0,1,1,4,1,3,4.08,2.16
2,1,2,0,0,1,1,4,1,3,4.08,2.16
2,1,3,0,0,1,1,4,1,3,4.08,2.16
2,1,1,0,0,2,0,1,1,3,2.13,2.3
2,1,2,0,0,2,0,1,1,3,2.13,2.3
2,1,3,0,0,2,0,1,1,3,2.13,2.3
2,1,1,0,0,3,0,3,1,3,3.76,2.46
2,1,2,0,0,3,0,3,1,3,3.76,2.46
2,1,3,0,0,3,0,3,1,3,3.76,2.46
2,1,1,0,0,4,0,2,1,3,3.84,5.78
2,1,2,0,0,4,0,2,1,3,3.84,5.78
2,1,3,0,0,4,0,2,1,3,3.84,5.78
3,1,1,1,3,1,0,2,1,3,3.63,2.99
3,1,2,1,3,1,0,2,1,3,3.63,2.99
3,1,3,1,3,1,0,2,1,3,3.63,2.99
3,1,1,1,3,2,1,1,1,3,2.93,6.11
3,1,2,1,3,2,1,1,1,3,2.93,6.11
3,1,3,1,3,2,1,1,1,3,2.93,6.11
3,1,1,1,3,3,0,4,1,3,3.01,10.48
3,1,2,1,3,3,0,4,1,3,3.01,10.48
3,1,3,1,3,3,0,4,1,3,3.01,10.48
3,1,1,1,3,4,0,3,1,3,2.77,7.49
3,1,2,1,3,4,0,3,1,3,2.77,7.49
3,1,3,1,3,4,0,3,1,3,2.77,7.49
4,0,1,1,3,1,0,2,1,3,2.92,4.18
4,0,2,1,3,1,0,2,1,3,2.92,4.18
4,0,3,1,3,1,0,2,1,3,2.92,4.18
4,0,1,1,3,2,1,1,1,3,1.81,6.08
4,0,2,1,3,2,1,1,1,3,1.81,6.08
4,0,3,1,3,2,1,1,1,3,1.81,6.08
4,0,1,1,3,3,0,4,1,3,2.83,4.26
4,0,2,1,3,3,0,4,1,3,2.83,4.26
4,0,3,1,3,3,0,4,1,3,2.83,4.26
4,0,1,1,3,4,0,3,1,2,3.07,8.72
4,0,2,1,3,4,0,3,1,2,3.07,8.72
4,0,3,1,3,4,0,3,0,2,3.07,8.72
5,0,1,1,3,1,0,1,1,3,1.62,2.52
5,0,2,1,3,1,0,1,1,3,1.62,2.52
5,0,3,1,3,1,0,1,1,3,1.62,2.52
5,0,1,1,3,2,0,2,1,3,1.26,6.7
5,0,2,1,3,2,0,2,1,3,1.26,6.7
5,0,3,1,3,2,0,2,1,3,1.26,6.7
5,0,1,1,3,3,0,3,1,3,1.95,6.08
5,0,2,1,3,3,0,3,1,3,1.95,6.08
5,0,3,1,3,3,0,3,1,3,1.95,6.08
5,0,1,1,3,4,1,4,1,2,1.57,4.58
5,0,2,1,3,4,1,4,1,2,1.57,4.58
5,0,3,1,3,4,1,4,0,2,1.57,4.58
6,1,1,1,3,1,0,1,1,3,1.89,3.09
6,1,2,1,3,1,0,1,1,3,1.89,3.09
6,1,3,1,3,1,0,1,1,3,1.89,3.09
6,1,1,1,3,2,0,2,1,3,1.62,3.18
6,1,2,1,3,2,0,2,1,3,1.62,3.18
6,1,3,1,3,2,0,2,1,3,1.62,3.18
6,1,1,1,3,3,0,3,1,3,1.79,4.38
6,1,2,1,3,3,0,3,1,3,1.79,4.38
6,1,3,1,3,3,0,3,1,3,1.79,4.38
6,1,1,1,3,4,1,4,1,2,1.41,4.02
6,1,2,1,3,4,1,4,1,2,1.41,4.02
6,1,3,1,3,4,1,4,0,2,1.41,4.02
7,1,1,1,3,1,0,2,1,3,2.72,4
7,1,2,1,3,1,0,2,1,3,2.72,4
7,1,3,1,3,1,0,2,1,3,2.72,4
7,1,1,1,3,2,0,3,1,2,1.97,5.7
7,1,2,1,3,2,0,3,0,2,1.97,5.7
7,1,3,1,3,2,0,3,1,2,1.97,5.7
7,1,1,1,3,3,1,1,1,3,2.29,4.85
7,1,2,1,3,3,1,1,1,3,2.29,4.85
7,1,3,1,3,3,1,1,1,3,2.29,4.85
7,1,1,1,3,4,0,4,1,3,2.1,5.38
7,1,2,1,3,4,0,4,1,3,2.1,5.38
7,1,3,1,3,4,0,4,1,3,2.1,5.38
8,0,1,1,3,1,0,2,0,1,2.11,5.87
8,0,2,1,3,1,0,2,0,1,2.11,5.87
8,0,3,1,3,1,0,2,1,1,2.11,5.87
8,0,1,1,3,2,0,3,1,3,3.31,17.9
8,0,2,1,3,2,0,3,1,3,3.31,17.9
8,0,3,1,3,2,0,3,1,3,3.31,17.9
8,0,1,1,3,3,1,1,1,3,2.48,16.24
8,0,2,1,3,3,1,1,1,3,2.48,16.24
8,0,3,1,3,3,1,1,1,3,2.48,16.24
8,0,1,1,3,4,0,4,1,3,2.56,5.94
8,0,2,1,3,4,0,4,1,3,2.56,5.94
8,0,3,1,3,4,0,4,1,3,2.56,5.94
9,1,1,1,3,1,0,3,1,3,5.13,6.36
9,1,2,1,3,1,0,3,1,3,5.13,6.36
9,1,3,1,3,1,0,3,1,3,5.13,6.36
9,1,1,1,3,2,1,4,1,3,5.93,6.79
9,1,2,1,3,2,1,4,1,3,5.93,6.79
9,1,3,1,3,2,1,4,1,3,5.93,6.79
9,1,1,1,3,3,0,2,1,3,3.31,8.18
9,1,2,1,3,3,0,2,1,3,3.31,8.18
9,1,3,1,3,3,0,2,1,3,3.31,8.18
9,1,1,1,3,4,0,1,0,0,7.15,7.07
9,1,2,1,3,4,0,1,0,0,7.15,7.07
9,1,3,1,3,4,0,1,0,0,7.15,7.07
10,0,1,1,3,1,0,3,1,3,1.65,2.94
10,0,2,1,3,1,0,3,1,3,1.65,2.94
10,0,3,1,3,1,0,3,1,3,1.65,2.94
10,0,1,1,3,2,1,4,1,3,1.52,1.71
10,0,2,1,3,2,1,4,1,3,1.52,1.71
10,0,3,1,3,2,1,4,1,3,1.52,1.71
10,0,1,1,3,3,0,2,1,3,1.52,1.92
10,0,2,1,3,3,0,2,1,3,1.52,1.92
10,0,3,1,3,3,0,2,1,3,1.52,1.92
10,0,1,1,3,4,0,1,1,3,1.97,2.11
10,0,2,1,3,4,0,1,1,3,1.97,2.11
10,0,3,1,3,4,0,1,1,3,1.97,2.11
11,1,1,1,2,1,0,4,1,2,2.42,6.14
11,1,2,1,2,1,0,4,1,2,2.42,6.14
11,1,3,0,2,1,0,4,0,2,2.42,6.14
11,1,1,1,2,2,0,2,1,2,3.65,9.39
11,1,2,1,2,2,0,2,1,2,3.65,9.39
11,1,3,0,2,2,0,2,0,2,3.65,9.39
11,1,1,1,2,3,0,3,0,0,3.1,5.55
11,1,2,1,2,3,0,3,0,0,3.1,5.55
11,1,3,0,2,3,0,3,0,0,3.1,5.55
11,1,1,1,2,4,1,1,1,2,3.44,3.68
11,1,2,1,2,4,1,1,1,2,3.44,3.68
11,1,3,0,2,4,1,1,0,2,3.44,3.68
12,0,1,1,3,1,0,4,1,3,2.9,3.84
12,0,2,1,3,1,0,4,1,3,2.9,3.84
12,0,3,1,3,1,0,4,1,3,2.9,3.84
12,0,1,1,3,2,0,2,1,3,2.3,3.71
12,0,2,1,3,2,0,2,1,3,2.3,3.71
12,0,3,1,3,2,0,2,1,3,2.3,3.71
12,0,1,1,3,3,0,3,1,3,3.58,6.82
12,0,2,1,3,3,0,3,1,3,3.58,6.82
12,0,3,1,3,3,0,3,1,3,3.58,6.82
12,0,1,1,3,4,1,1,1,2,5.36,8.64
12,0,2,1,3,4,1,1,1,2,5.36,8.64
12,0,3,1,3,4,1,1,0,2,5.36,8.64
13,1,1,1,3,1,0,3,1,3,3.97,7.04
13,1,2,1,3,1,0,3,1,3,3.97,7.04
13,1,3,1,3,1,0,3,1,3,3.97,7.04
13,1,1,1,3,2,0,1,1,3,1.92,5.72
13,1,2,1,3,2,0,1,1,3,1.92,5.72
13,1,3,1,3,2,0,1,1,3,1.92,5.72
13,1,1,1,3,3,1,4,1,3,3.07,6.21
13,1,2,1,3,3,1,4,1,3,3.07,6.21
